n,bayes_pA_q95_width,boot_pA_q95_width,bayes_pB_q95_width,boot_pB_q95_width,bayes_pExhaust_q95_width,boot_pExhaust_q95_width,bayes_capture_pA_q95,bayes_capture_pB_q95,bayes_capture_pExhaust_q95,boot_capture_pA_q95,boot_capture_pB_q95,boot_capture_pExhaust_q95
10,0.4260612585932745,0.5,0.5170776701991593,0.6000000000000001,0.45921231952240504,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.42880893852417246,0.30000000000000004,0.2568198347412187,0,0.35873230980922477,0.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.496463549074213,0.6000000000000001,0.5101850701853295,0.6000000000000001,0.2518345840629966,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
10,0.500500939196512,0.6,0.5026366379976474,0.6,0.4621635851771767,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5304213028506154,0.6000000000000001,0.4201279978833672,0.5,0.48094953127425943,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5176552168439101,0.6,0.4856502403589526,0.6000000000000001,0.3396879182249453,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4776304187689012,0.6,0.36123971065469873,0.3,0.5024434017413271,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.4577592771598206,0.5,0.485240198650452,0.6,0.5026560962342891,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.42481031118327844,0.5,0.474051566019697,0.5,0.5275605398013199,0.6000000000000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5185408147788342,0.6000000000000001,0.47050632416695976,0.5,0.37444796566620697,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.24679430365160132,0,0.3394607378293594,0.3,0.4293497750704629,0.30000000000000004,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.47456120956678227,0.6,0.4784787480003198,0.5,0.4867465329204731,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.34751686229866563,0.3,0.5165044844796847,0.6000000000000001,0.4986865344123812,0.6,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.5264249960528082,0.6000000000000001,0.34542069853143537,0.3,0.5013337094523577,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,0.43596318606157103,0.5,0.2457971283987675,0,0.4730795355064893,0.5,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
10,0.2794105409676781,0,0.4859694413855047,0.6,0.46508249930630763,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
10,0.504280322000479,0.6000000000000001,0.5133987792123105,0.6,0.3637060840431373,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
